Designator,Mid X,Mid Y,Rotation,Layer
BT1,87.5,-66.5,180.0,bottom
C1,131.0,-64.5,270.0,top
C10,136.0,-66.0,0.0,top
C2,143.0,-64.5,270.0,top
C3,123.0,-61.5,0.0,top
C4,124.5,-65.0,270.0,top
C5,124.5,-67.0,270.0,top
C7,146.0,-63.5,90.0,top
D1,142.5,-58.0,270.0,top
D3,146.0,-58.0,270.0,top
J1,122.627564,-50.0,180.0,top
L1,136.0,-56.0,0.0,top
Q1,124.0,-72.0,270.0,top
Q2,119.5,-72.0,90.0,top
Q3,79.5,-66.5,90.0,bottom
R1,142.5,-55.0,90.0,top
R10,150.0,-76.0,90.0,top
R11,129.5,-71.5,90.0,top
R12,149.5,-73.5,0.0,top
R13,131.0,-71.5,90.0,top
R15,146.0,-55.0,90.0,top
R16,141.0,-64.5,270.0,top
R17,136.0,-67.0,180.0,top
R2,128.5,-51.0,270.0,top
R3,116.5,-51.01,90.0,top
R4,122.0,-75.0,180.0,top
R5,119.0,-68.5,0.0,top
S1,158.0,-80.5,0.0,top
S10,84.0,-88.5,0.0,top
S2,166.0,-88.5,0.0,top
S3,158.0,-96.5,0.0,top
S4,150.0,-88.5,0.0,top
S5,131.0,-82.0,0.0,top
S6,118.5,-82.0,0.0,top
S7,92.0,-80.5,0.0,top
S8,100.0,-88.5,0.0,top
S9,92.0,-96.5,0.0,top
SW1,167.0,-54.5,0.0,top
SW2,131.5,-75.0,180.0,top
SW3,138.5,-74.5,180.0,top
SW4,79.0,-54.5,0.0,top
U1,163.37,-69.9,90.0,bottom
U3,121.75,-65.5,180.0,top
U4,135.77,-62.2125,180.0,top
